flight_id,flight_number,date,month,day_of_week,is_weekend,airline,aircraft_type,origin,destination,distance_km,scheduled_dep_hour,flight_duration_min,seat_capacity,passengers_boarded,load_factor_pct,weather_origin,weather_dest,origin_congestion,dest_congestion,atc_delay_min,late_aircraft_min,tech_issue_delay_min,dep_delay_min,arr_delay_min
FL0430,I5797,2023-06-07,6,Wednesday,0,AirAsia India,A319,JAI,BHO,1501,10,121,144,115.0,80.0,9.0,10.0,4,2,0.0,0.0,0.0,31.0,77.4
FL0330,6E841,2023-01-17,1,Tuesday,0,IndiGo,A320,PAT,BOM,449,17,53,180,156.0,87.2,9.0,8.0,2,9,4.1,22.9,0.0,59.6,111.7
FL0061,6E101,2023-03-22,3,Wednesday,0,IndiGo,B737,PAT,VTZ,689,8,82,162,135.0,83.8,1.0,6.0,2,2,17.3,0.0,0.0,16.0,44.9
FL0848,UK956,2023-11-22,11,Wednesday,0,Vistara,A320,CCU,BLR,1670,7,140,180,131.0,73.1,1.0,4.0,5,7,6.9,0.0,0.0,6.5,32.3
FL1448,6E811,2023-05-23,5,Tuesday,0,IndiGo,B737,ATQ,BHO,1779,13,176,162,116.0,71.9,5.0,7.0,2,2,,27.0,0.0,42.1,55.8
FL0726,SG818,2023-08-12,8,Saturday,1,SpiceJet,CRJ-900,JAI,BOM,960,20,87,90,,89.9,7.0,6.0,4,9,3.1,10.9,0.0,40.5,116.9
FL1163,SG901,2023-07-01,7,Saturday,1,SpiceJet,B737,BHO,ATQ,471,20,64,162,126.0,78.1,6.0,7.0,2,2,10.7,0.0,0.0,23.3,77.8
FL0596,6E638,2023-08-09,8,Wednesday,0,IndiGo,B737,IXB,GAU,1033,6,102,162,116.0,71.8,4.0,8.0,2,2,1.4,29.4,0.0,41.4,82.1
FL0222,G8505,2023-11-20,11,Monday,0,GoFirst,A320,PNQ,ATQ,1015,12,100,180,138.0,76.8,6.0,5.0,4,2,2.6,0.0,0.0,9.4,29.1
FL0479,6E681,2023-10-16,10,Monday,0,IndiGo,A321,DEL,VTZ,1320,9,132,220,178.0,81.1,6.0,2.0,9,2,19.5,0.0,0.0,40.9,25.9
FL0386,AI754,2023-09-21,9,Thursday,0,Air India,A320,HYD,GOI,1673,12,163,180,145.0,80.8,4.0,6.0,6,3,1.4,0.0,0.0,265.0,31.0
